"","id","cond","age","x","y","z","trial","round","agegroup"
"1",1,"Rough",7,1,6,24,0,1,"7-8"
"2",1,"Rough",7,0,4,20,1,1,"7-8"
"3",1,"Rough",7,2,4,23,2,1,"7-8"
"4",1,"Rough",7,3,4,2,3,1,"7-8"
"5",1,"Rough",7,2,5,18,4,1,"7-8"
"6",1,"Rough",7,0,3,18,5,1,"7-8"
"7",1,"Rough",7,0,2,17,6,1,"7-8"
"8",1,"Rough",7,0,6,25,7,1,"7-8"
"9",1,"Rough",7,0,6,23,8,1,"7-8"
"10",1,"Rough",7,0,7,33,9,1,"7-8"
"11",1,"Rough",7,1,7,25,10,1,"7-8"
"12",1,"Rough",7,0,5,24,11,1,"7-8"
"13",1,"Rough",7,2,6,18,12,1,"7-8"
"14",1,"Rough",7,2,7,33,13,1,"7-8"
"15",1,"Rough",7,3,7,37,14,1,"7-8"
"16",1,"Rough",7,4,7,34,15,1,"7-8"
"17",1,"Rough",7,4,6,25,16,1,"7-8"
"18",1,"Rough",7,3,6,23,17,1,"7-8"
"19",1,"Rough",7,1,5,20,18,1,"7-8"
"20",1,"Rough",7,5,7,23,19,1,"7-8"
"21",1,"Rough",7,3,5,8,20,1,"7-8"
"22",1,"Rough",7,5,6,16,21,1,"7-8"
"23",1,"Rough",7,6,7,9,22,1,"7-8"
"24",1,"Rough",7,1,3,25,23,1,"7-8"
"25",1,"Rough",7,1,3,22,24,1,"7-8"
"26",1,"Rough",7,3,7,35,25,1,"7-8"
"27",1,"Rough",7,4,4,34,0,2,"7-8"
"28",1,"Rough",7,3,4,27,1,2,"7-8"
"29",1,"Rough",7,5,4,40,2,2,"7-8"
"30",1,"Rough",7,6,4,41,3,2,"7-8"
"31",1,"Rough",7,7,4,50,4,2,"7-8"
"32",1,"Rough",7,7,5,44,5,2,"7-8"
"33",1,"Rough",7,6,5,43,6,2,"7-8"
"34",1,"Rough",7,5,5,31,7,2,"7-8"
"35",1,"Rough",7,6,3,32,8,2,"7-8"
"36",1,"Rough",7,7,3,39,9,2,"7-8"
"37",1,"Rough",7,4,3,25,10,2,"7-8"
"38",1,"Rough",7,5,3,34,11,2,"7-8"
"39",1,"Rough",7,4,5,32,12,2,"7-8"
"40",1,"Rough",7,7,6,24,13,2,"7-8"
"41",1,"Rough",7,6,6,28,14,2,"7-8"
"42",1,"Rough",7,5,6,13,15,2,"7-8"
