,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mu_beta_0,34.428802269770735,0.49197399492896887,0.005266668932696767,33.47818556230903,35.39357240773939,4000.0,1.0001882050071875
mu_beta_round,0.11259376168252144,0.24580475511977565,0.0025761495998475673,-0.39810483928474144,0.5622295886038138,4000.0,0.9998009304969618
mu_beta_trial,1.4762597455050868,0.20517382811818893,0.0024020222808028616,1.0784391201645978,1.8881639166865383,4000.0,0.9999764298986347
beta_0__0,31.558150468718317,0.7909348039011437,0.007723251688267501,29.975823574810907,33.13310321672214,4000.0,0.999752224438231
beta_0__1,32.76569580483074,0.7591154113652726,0.008065018819608015,31.297907420446883,34.26444611793966,4000.0,0.9997893004818594
beta_0__2,26.580514083299217,0.7730054782843322,0.008039856582687488,25.11123895070835,28.186950527741896,4000.0,0.9997577055365876
beta_0__3,32.562368310640224,0.897274461190248,0.008194852488095785,30.87919421158729,34.38266162860871,4000.0,0.9997512225053504
beta_0__4,28.79971672895403,0.8005965644561146,0.008800728723728824,27.18628539671727,30.301337787812653,4000.0,1.0000155998408629
beta_0__5,27.86772895431585,0.9489506261032504,0.009086217950807475,25.963763111316997,29.726259722262284,4000.0,0.999769014782492
beta_0__6,45.00333098515203,0.6231667609343995,0.006389610589876696,43.79919036703089,46.209248388037686,4000.0,0.9997511341398694
beta_0__7,23.968285870445044,0.7847923872934808,0.007597859414311419,22.410882731128805,25.45267996434727,4000.0,0.9997574126575419
beta_0__8,36.522613645275754,0.7811284046800028,0.008750451478967984,35.05343864612242,38.17229504801458,4000.0,0.9998809517491402
beta_0__9,27.873983488376428,0.8063167648897603,0.007498409510545943,26.223338116381633,29.354616043691706,4000.0,0.9997569761747922
beta_0__10,29.63878917500979,0.7279452152683213,0.00802973039955793,28.29610623960655,31.159509943583867,4000.0,0.9997748217077016
beta_0__11,39.3657387497199,0.5938808853574535,0.00535294499607585,38.22309051133813,40.530714548289815,4000.0,0.9997706617707828
beta_0__12,24.628324416719746,0.8555312808400947,0.009179927020911822,22.97784964243594,26.29203068446595,4000.0,0.999823390088184
beta_0__13,35.67671316752642,0.7997770491277341,0.008319252049034827,34.17184144854645,37.28881411844356,4000.0,0.9997767900008563
beta_0__14,28.38321461178599,0.7117455420841523,0.006972540084011131,27.05098607134867,29.830962136019156,4000.0,0.9997977205425929
beta_0__15,28.30049125954839,0.7745452924390771,0.007738354319247197,26.82536200431931,29.843968125814516,4000.0,0.9997598432142355
beta_0__16,34.555813661876805,0.7350419180902131,0.007501231807604022,33.19271235117723,36.062551565650836,4000.0,0.9998326466421666
beta_0__17,30.115281095582013,0.7427685372204101,0.007552951721093775,28.71110502433661,31.600870472752455,4000.0,0.9997609709617853
beta_0__18,35.30031954951176,0.7819255891448402,0.007527433485135754,33.67301882957291,36.773891111188924,4000.0,0.9998243163660328
beta_0__19,29.048471285483558,0.8851142545998358,0.009310697993139574,27.320279167789394,30.733026269237968,4000.0,0.9997694374745674
beta_0__20,40.99279889317713,0.7204600786881639,0.007423718925418444,39.660588825047675,42.39762727345113,4000.0,0.9997507282849386
beta_0__21,29.258084827550753,0.8023901971864796,0.007150972011363783,27.763406302296435,30.838967182626053,4000.0,0.999755572267635
beta_0__22,34.33106529669621,0.7436124747580679,0.006874502751193253,32.86645560130942,35.75031137092039,4000.0,0.9997896522461129
beta_0__23,30.833057769992276,0.855940672629564,0.008636210968206333,29.100181432502577,32.447603924770966,4000.0,0.9997602960902737
beta_0__24,36.712608489836136,0.7097745892615676,0.007707526899206113,35.36495528325643,38.103049691977944,4000.0,1.000498136149285
beta_0__25,30.343633467590912,0.810637874630951,0.008716863316853608,28.811465044492465,31.95485588804258,4000.0,0.9997634036512317
beta_0__26,37.38881554797604,0.6639168742275454,0.006511411430303998,36.08087951847794,38.70163364911939,4000.0,0.9998185301479323
beta_0__27,33.06273431832534,0.6659312864549684,0.006889046945020375,31.75711067189942,34.34602682422763,4000.0,0.9998616334786677
beta_0__28,36.7900106570362,0.6010683543790486,0.0063603098987386935,35.5763596301281,37.92293009147184,4000.0,1.0002110966168254
beta_0__29,44.853815136488436,0.3865676980617347,0.003775447173037004,44.10728837455019,45.6286080739916,4000.0,0.9998332791818383
beta_0__30,31.854902040338548,0.9614354358112799,0.00935976978989448,29.948567347295278,33.69863872296546,4000.0,0.9997692383603999
beta_0__31,22.435968776351675,0.8388631323756498,0.009137185813472755,20.76564709466871,24.112090734171385,4000.0,0.9997509233745768
beta_0__32,33.034960692273245,0.8165696773647327,0.00814793556044527,31.390360017416512,34.6050826422784,4000.0,0.9997630084451192
beta_0__33,31.80267834898227,0.7751314099299506,0.007584483281519845,30.33623192131928,33.41275874842204,4000.0,0.9997714638054811
beta_0__34,28.840884195467776,0.718766791201781,0.007079668782290575,27.41326936016099,30.205307897079795,4000.0,1.0004467700414208
beta_0__35,36.646979088225905,0.65439588641925,0.007615878059724503,35.32397715862519,37.86577528775844,4000.0,0.9999032252120095
beta_0__36,36.64733505900502,0.8624181158705574,0.008405476344239314,34.91500550518426,38.23389293374622,4000.0,0.9998247255199366
beta_0__37,22.431324624049413,0.8537421569920163,0.008544207626494714,20.70502368772115,24.09917295336462,4000.0,0.9998859160468786
beta_0__38,27.755389195776704,0.8210788708983492,0.0082839135033259,26.180213858341894,29.33462791195411,4000.0,0.9997652695353032
beta_0__39,33.20300320386893,0.7942821680327503,0.00709947845543194,31.709052523308415,34.81638645455554,4000.0,0.9998500955638024
beta_0__40,27.001137189436598,0.8824493152446061,0.00905666515351832,25.264724067395584,28.747800662658317,4000.0,0.9997500357040765
beta_0__41,41.51608789525334,0.6781337803920031,0.007320219179106055,40.18275187097465,42.852969477041285,4000.0,1.000043821711723
beta_0__42,30.144002280092124,0.7945232911376314,0.008810235057400449,28.636658463562696,31.724101813272625,4000.0,0.9997517630673085
beta_0__43,36.68698307766326,0.7028080363231977,0.0065270980834073195,35.30176252392745,38.06133134417274,4000.0,0.9998713114226512
beta_0__44,26.382958532692058,0.8003848678582683,0.008230452799357467,24.833615757142056,28.00210151120188,4000.0,0.9999195689389255
