"","X","X.1","X.2","par1","par2","par3"
"1","cv",1,104.643529682183,0.232231633690736,-4.0116521987511,-1.81218279398434
"2","cv",2,101.821383209402,0.218774577783243,-3.65217695245947,-1.78433632531289
"3","cv",3,102.142869911552,0.214101326497524,-4.18384779522761,-1.81282399097944
"4","cv",4,96.3007256438305,0.213980634198076,-4.6547651241976,-1.65893963356121
"5","cv",5,104.785796464005,0.2706998497272,-3.53913305439382,-1.80467431699763
"6","cv",6,101.344127177928,0.21044094930626,-3.68191747928772,-1.764908592458
"7","cv",7,102.053470009157,0.22975650814938,-3.53890693705898,-1.78737819848802
"8","cv",8,100.537385480114,0.200523229317507,-3.75937773352369,-1.79952443427125
"9","cv",1,76.8595843129399,-0.836454493766013,-0.85277131422921,-4.99999956665735
"10","cv",2,85.5081903223249,-0.826381339113255,-0.864752740815693,-4.99999962102928
"11","cv",3,79.4820350640072,-0.832466297066806,-0.870914972108687,-4.9999999933234
"12","cv",4,72.0395661283946,-0.830369406820241,-0.868942790193419,-4.99999868016987
"13","cv",5,73.0793279674888,-0.836505867606784,-0.869951513422425,-4.99999976864964
"14","cv",6,53.7889464662516,-0.843896820533348,-0.904630339792842,-4.99999713362555
"15","cv",7,87.1611386405445,-0.824194371193379,-0.863485114923128,-4.99999943489026
"16","cv",8,72.8511043636992,-0.834566203326555,-0.86588130476459,-4.99999974643061
"17","cv",1,100.566181472759,-0.0427354515502636,-0.154127231775694,-1.51259012560458
"18","cv",2,93.3063575803437,0.044268667335344,-0.15359028849861,-1.36957847385902
"19","cv",3,98.0114491396474,0.0236544000495255,-0.207045949219493,-1.48575987883998
"20","cv",4,98.2898195848018,0.0277454417262278,-0.294744242736803,-1.57530127599354
"21","cv",5,96.6379542155096,0.0499360048515037,-0.079408577674739,-1.34974271739115
"22","cv",6,98.1708016730006,0.0105143107809839,-0.160268979198247,-1.45289261390362
"23","cv",7,98.7753137684152,-0.0205538776954109,-0.403511674553255,-1.65596907439184
"24","cv",8,95.2542148225136,-0.00213253851409799,-0.163810024681676,-1.41206869216356
"25","cv",1,96.1482793708997,-0.823915233912484,-0.82077718551701,-3.99690002089713
"26","cv",2,95.5881651010676,-0.706612942930911,-0.775394148822005,-3.5265080797367
"27","cv",3,92.2708492908943,-0.982093553704203,-0.35741641426807,-4.93123722819339
"28","cv",4,92.6837986458882,-0.813767221955734,-0.752635644790993,-3.95857814939034
"29","cv",5,92.996961728544,-0.810251162357463,-0.487575992293775,-3.92112306585693
"30","cv",6,92.805094342852,-0.855179620852741,-0.513268474982102,-4.16482769840775
"31","cv",7,87.2430229377016,-0.753440165164425,-0.717672914398844,-3.61505406242856
"32","cv",8,88.9309338753265,-0.905839104868876,-0.800129888548924,-4.36357526435445
"33","cv",1,96.7616849152129,-0.946020901250764,-0.939197726585271,-4.9999834090471
"34","cv",2,89.9301778925877,-0.749980054944599,-0.81510609742074,-3.89349504820293
"35","cv",3,88.4002162511228,-0.766116157608689,-0.874732992870467,-3.98198471461774
"36","cv",4,93.9265227449064,-0.765656123844917,-0.855851269684535,-4.03417176561679
"37","cv",5,90.6085938443746,-0.79271322267768,-0.895850642403768,-4.11788135770807
"38","cv",6,97.2561107091077,-0.860641388698665,-0.643168936123869,-4.57888109496333
"39","cv",7,96.6120211180404,-0.715841483964202,-0.818109336974163,-3.88209604664727
"40","cv",8,90.9493734247411,-0.858789897037601,-0.884959872237442,-4.42914443006607
"41","cv",1,98.2032677399624,-0.190409788189209,0.5881124991698,-1.32385548296662
"42","cv",2,93.5122147621371,-0.322495956125957,0.897312016272525,-1.31584417338929
"43","cv",3,96.2668071200982,-0.271618739549554,0.826264394411339,-1.26862515589643
"44","cv",4,95.3204454897037,-0.262681139185356,1.06374570349285,-1.01886370497405
"45","cv",5,96.7140684878615,-0.208168532919698,0.620354051521606,-1.30846698694209
"46","cv",6,94.7000768787707,-0.199628237686839,0.740676815909888,-1.15120220507628
"47","cv",7,93.4197059942863,-0.301131792497037,0.661077471131969,-1.38307171421034
"48","cv",8,93.1469661088895,-0.281866824633521,0.934225456725757,-1.145152790243
"49","cv",1,66.2047185877362,-0.308511455088027,-1.82422254733311,-3.51028513992485
"50","cv",2,73.3683903633806,-0.324156804446781,-1.84664808446372,-3.52954917578941
"51","cv",3,77.0383918119932,-0.344635945154942,-1.78053984327387,-3.54373474731006
"52","cv",4,81.5244722650371,-0.304780424659177,-1.82474035767103,-3.50503106722969
"53","cv",5,74.5748075561501,-0.313096701158167,-1.78208031138491,-3.56941526950461
"54","cv",6,53.6754909578764,-0.317773854236107,-1.80220019339335,-3.50407404752364
"55","cv",7,80.7816108924032,-0.299209389797263,-1.84893596668835,-3.48016016250154
"56","cv",8,52.7605124895446,-0.270871324097542,-1.83362876501644,-3.48759581485949
"57","cv",1,40.3192884757197,0.203979227252198,-1.49025751971947,-3.59868735720122
"58","cv",2,60.2163553478545,0.185241260859952,-1.4845220759333,-3.59556625487075
"59","cv",3,59.6614048397202,0.183519463217729,-1.51578124265931,-3.59854547288376
"60","cv",4,65.7897930701446,0.171069962339458,-1.52191429834274,-3.66936815404961
"61","cv",5,38.4185025900654,0.227979260997724,-1.45520478151308,-3.57699064012636
"62","cv",6,71.1829740984088,0.208302881685658,-1.47873775140533,-3.62258919735469
"63","cv",7,73.775702990016,0.189239751408708,-1.47452369826832,-3.65742861036489
"64","cv",8,51.0538567870067,0.195752683972445,-1.51868763280149,-3.57410351959269
