"","id","cond","age","x","y","z","time","trial","round","comb","dist","agegroup"
"1",1,1,7,1,6,24,1508670473294,0,1,"1 6",0,"7-8"
"2",1,1,7,0,4,20,1508670482323,1,1,"0 4",3,"7-8"
"3",1,1,7,2,4,23,1508670485211,2,1,"2 4",2,"7-8"
"4",1,1,7,3,4,2,1508670487576,3,1,"3 4",1,"7-8"
"5",1,1,7,2,5,18,1508670489873,4,1,"2 5",2,"7-8"
"6",1,1,7,0,3,18,1508670493167,5,1,"0 3",4,"7-8"
"7",1,1,7,0,2,17,1508670493329,6,1,"0 2",1,"7-8"
"8",1,1,7,0,6,25,1508670497455,7,1,"0 6",4,"7-8"
"9",1,1,7,0,6,23,1508670503888,8,1,"0 6",0,"7-8"
"10",1,1,7,0,7,33,1508670505458,9,1,"0 7",1,"7-8"
"11",1,1,7,1,7,25,1508670508387,10,1,"1 7",1,"7-8"
"12",1,1,7,0,5,24,1508670510806,11,1,"0 5",3,"7-8"
"13",1,1,7,2,6,18,1508670514834,12,1,"2 6",3,"7-8"
"14",1,1,7,2,7,33,1508670517334,13,1,"2 7",1,"7-8"
"15",1,1,7,3,7,37,1508670519659,14,1,"3 7",1,"7-8"
"16",1,1,7,4,7,34,1508670521821,15,1,"4 7",1,"7-8"
"17",1,1,7,4,6,25,1508670525049,16,1,"4 6",1,"7-8"
"18",1,1,7,3,6,23,1508670526224,17,1,"3 6",1,"7-8"
"19",1,1,7,1,5,20,1508670529351,18,1,"1 5",3,"7-8"
"20",1,1,7,5,7,23,1508670533926,19,1,"5 7",6,"7-8"
"21",1,1,7,3,5,8,1508670536297,20,1,"3 5",4,"7-8"
"22",1,1,7,5,6,16,1508670541481,21,1,"5 6",3,"7-8"
"23",1,1,7,6,7,9,1508670547339,22,1,"6 7",2,"7-8"
"24",1,1,7,1,3,25,1508670550824,23,1,"1 3",9,"7-8"
"25",1,1,7,1,3,22,1508670550975,24,1,"1 3",0,"7-8"
"26",1,1,7,3,7,35,1508670558943,25,1,"3 7",6,"7-8"
"27",1,1,7,4,4,34,1508670562551,0,2,"4 4",4,"7-8"
"28",1,1,7,3,4,27,1508670569685,1,2,"3 4",1,"7-8"
"29",1,1,7,5,4,40,1508670571714,2,2,"5 4",2,"7-8"
"30",1,1,7,6,4,41,1508670575376,3,2,"6 4",1,"7-8"
"31",1,1,7,7,4,50,1508670577524,4,2,"7 4",1,"7-8"
"32",1,1,7,7,5,44,1508670580317,5,2,"7 5",1,"7-8"
"33",1,1,7,6,5,43,1508670582777,6,2,"6 5",1,"7-8"
"34",1,1,7,5,5,31,1508670585728,7,2,"5 5",1,"7-8"
"35",1,1,7,6,3,32,1508670588497,8,2,"6 3",3,"7-8"
"36",1,1,7,7,3,39,1508670590525,9,2,"7 3",1,"7-8"
"37",1,1,7,4,3,25,1508670593249,10,2,"4 3",3,"7-8"
"38",1,1,7,5,3,34,1508670595965,11,2,"5 3",1,"7-8"
"39",1,1,7,4,5,32,1508670599882,12,2,"4 5",3,"7-8"
"40",1,1,7,7,6,24,1508670602440,13,2,"7 6",4,"7-8"
