"","id","round","trial","x","y","z","chosen"
"1",1,1,0,7,3,16.7505015374513,32
"2",1,1,1,2,3,25.1313665091312,27
"3",1,1,2,4,1,19.9164638335981,13
"4",1,1,3,6,0,34.8773502279151,7
"5",1,1,4,5,5,6.43701887608048,46
"6",1,1,5,0,1,9.87381399236103,9
"7",1,1,6,3,4,5.90077602047641,36
"8",1,1,7,7,0,23.3312668249762,8
"9",1,1,8,4,7,25.2785866405218,61
"10",1,1,9,3,0,29.7164814279101,4
"11",1,1,10,7,7,17.5812703118307,64
"12",1,1,11,0,3,15.9685336663096,25
"13",1,1,12,1,1,14.2640825068311,10
"14",1,1,13,1,0,18.8264591063831,2
"15",1,1,14,6,7,9.95648812506033,63
"16",1,1,15,3,3,22.6916845842512,28
"17",1,1,16,0,1,9.87381399236103,9
"18",1,1,17,7,1,32.7587606716691,16
"19",1,1,18,6,1,35,15
"20",1,1,19,7,5,23.5676110314663,48
"21",1,1,20,4,5,7.26160303412473,45
"22",1,1,21,7,1,32.7587606716691,16
"23",1,1,22,4,1,19.9164638335981,13
"24",1,1,23,0,0,19.8082548656903,1
"25",1,1,24,6,4,14.5126752852487,39
"26",1,1,25,2,5,14.5635199233669,43
"27",1,2,0,4,5,27.5644964256071,45
"28",1,2,1,5,1,29.3675454789506,14
"29",1,2,2,7,4,41,40
"30",1,2,3,6,1,24.0380321596136,15
"31",1,2,4,1,4,29.794491840598,34
"32",1,2,5,3,4,23.6270933978865,36
"33",1,2,6,3,7,19.133788238346,60
"34",1,2,7,4,4,30.3158083604393,37
"35",1,2,8,1,7,18.6483928826757,58
"36",1,2,9,5,2,30.9364377616485,22
"37",1,2,10,7,1,16.0657555167782,16
"38",1,2,11,2,3,26.4569229725528,27
"39",1,2,12,0,0,14.1161855501221,1
"40",1,2,13,6,5,35.2738502393668,47
"41",1,2,14,1,0,29.459508744052,2
"42",1,2,15,3,0,31.0176506212972,4
"43",1,2,16,7,2,28.4070761839612,24
"44",1,2,17,2,5,18.4495172359368,43
"45",1,2,18,4,6,16.6596906347262,53
"46",1,2,19,0,7,18.3481247207495,57
"47",1,2,20,5,2,30.9364377616485,22
"48",1,2,21,1,4,29.794491840598,34
"49",1,2,22,3,3,13.6798473563228,28
"50",1,2,23,4,5,27.5644964256071,45
"51",1,2,24,2,6,24.6904832253806,51
"52",1,2,25,1,6,19.6808631133258,50
"53",1,3,0,1,4,33.5225544254371,34
"54",1,3,1,4,2,11.185327502454,21
"55",1,3,2,6,5,14.1176341620764,47
"56",1,3,3,5,7,32.1741263113422,62
"57",1,3,4,5,7,32.1741263113422,62
"58",1,3,5,5,4,33.6297591230002,38
"59",1,3,6,5,3,21.9588882411014,30
"60",1,3,7,0,7,32.3239316486054,57
"61",1,3,8,3,7,23.3972534382651,60
"62",1,3,9,6,6,16.3185784351974,55
"63",1,3,10,7,4,23.4831474604255,40
"64",1,3,11,1,7,5,58
"65",1,3,12,3,0,5.06438567007789,4
"66",1,3,13,0,3,45,25
"67",1,3,14,0,7,32.3239316486054,57
"68",1,3,15,2,4,32.6088358222825,35
"69",1,3,16,5,6,27.3751403448194,54
"70",1,3,17,4,0,13.094962415036,5
"71",1,3,18,0,0,32.0605132442286,1
"72",1,3,19,6,1,30.6043010421826,15
"73",1,3,20,3,4,35.4214117774015,36
"74",1,3,21,5,2,12.8331186544278,22
"75",1,3,22,5,5,23.222367437428,46
"76",1,3,23,0,5,34.9352636953585,41
"77",1,3,24,6,1,30.6043010421826,15
"78",1,3,25,4,6,33.8711158619048,53
"79",1,4,0,5,5,37.6755901251975,46
"80",1,4,1,3,2,23.5104986137727,20
"81",1,4,2,3,0,16.4049089720339,4
"82",1,4,3,3,0,16.4049089720339,4
"83",1,4,4,4,4,38.0840506956284,37
"84",1,4,5,1,1,27.816874534813,10
"85",1,4,6,0,0,28.2187981544902,1
"86",1,4,7,4,6,43,53
"87",1,4,8,6,0,11.9707357032706,7
"88",1,4,9,0,4,16.5913109343976,33
"89",1,4,10,0,2,20.5655220451833,17
"90",1,4,11,3,4,38.3694049850745,36
"91",1,4,12,5,0,23.4766569618538,6
"92",1,4,13,6,0,11.9707357032706,7
"93",1,4,14,2,0,18.8419101594924,3
"94",1,4,15,6,6,28.421568872007,55
"95",1,4,16,0,7,38.8439263788185,57
"96",1,4,17,7,7,31.1762046196215,64
"97",1,4,18,6,1,5.0011007485215,15
"98",1,4,19,3,0,16.4049089720339,4
"99",1,4,20,6,4,24.9428279851308,39
"100",1,4,21,7,5,30.3396962311666,48
"101",1,4,22,5,4,35.8166977018434,38
"102",1,4,23,0,2,20.5655220451833,17
"103",1,4,24,1,6,30.9459316087831,50
"104",1,4,25,5,6,37.3565098976192,54
"105",1,5,0,4,5,27.2860618547063,45
"106",1,5,1,5,1,6.31928895661329,14
"107",1,5,2,3,7,31.4600847472074,60
"108",1,5,3,0,6,12.2781426018856,49
"109",1,5,4,7,6,35.7437540097018,56
"110",1,5,5,6,0,25.3696653144872,7
"111",1,5,6,4,1,12.8758804513936,13
"112",1,5,7,7,4,28.1749558205891,40
"113",1,5,8,2,0,13.0731957356897,3
"114",1,5,9,0,2,32.2443143596379,17
"115",1,5,10,0,4,14.0410711253723,33
"116",1,5,11,1,0,25.4391624555105,2
"117",1,5,12,0,5,11.6134911342467,41
"118",1,5,13,6,6,21.5430909878289,55
